,threads,keys,operations,searc,insert,time
78,2.0,1000.0,1000.0,0.3,0.5,0.004457
79,2.0,1000.0,1000.0,0.3,0.6,0.006912
80,2.0,1000.0,1000.0,0.3,0.7,0.0074
81,2.0,1000.0,1000.0,0.4,0.0,0.006223
82,2.0,1000.0,1000.0,0.4,0.1,0.005413
83,2.0,1000.0,1000.0,0.4,0.2,0.005974
84,2.0,1000.0,1000.0,0.4,0.3,0.006064
85,2.0,1000.0,1000.0,0.4,0.4,0.00791
86,2.0,1000.0,1000.0,0.4,0.5,0.006747
87,2.0,1000.0,1000.0,0.4,0.6,0.008348
88,2.0,1000.0,1000.0,0.5,0.0,0.005735
89,2.0,1000.0,1000.0,0.5,0.1,0.004986
90,2.0,1000.0,1000.0,0.5,0.2,0.006234
91,2.0,1000.0,1000.0,0.5,0.3,0.006804
92,2.0,1000.0,1000.0,0.5,0.4,0.007036
93,2.0,1000.0,1000.0,0.5,0.5,0.006508
94,2.0,1000.0,1000.0,0.6,0.0,0.005272
95,2.0,1000.0,1000.0,0.6,0.1,0.005237
96,2.0,1000.0,1000.0,0.6,0.2,0.007123
97,2.0,1000.0,1000.0,0.6,0.3,0.006745
98,2.0,1000.0,1000.0,0.6,0.4,0.00752
99,2.0,1000.0,1000.0,0.7,0.0,0.005358
100,2.0,1000.0,1000.0,0.7,0.15,0.005719
101,2.0,1000.0,1000.0,0.7,0.3,0.006066
102,2.0,1000.0,1000.0,0.8,0.0,0.004421
103,2.0,1000.0,1000.0,0.8,0.1,0.004412
104,2.0,1000.0,1000.0,0.8,0.2,0.004749
105,2.0,1000.0,1000.0,0.9,0.0,0.003893
106,2.0,1000.0,1000.0,0.9,0.1,0.003819
107,2.0,1000.0,1000.0,1.0,0.0,0.001158
108,4.0,1000.0,1000.0,0.1,0.0,0.027126
109,4.0,1000.0,1000.0,0.1,0.1,0.031414
110,4.0,1000.0,1000.0,0.1,0.2,0.037195
111,4.0,1000.0,1000.0,0.1,0.3,0.039232
112,4.0,1000.0,1000.0,0.1,0.4,0.030355
113,4.0,1000.0,1000.0,0.1,0.5,0.04058
114,4.0,1000.0,1000.0,0.1,0.6,0.043643
