,threads,keys,operations,searc,insert,time
105,2.0,1000.0,1000.0,0.9,0.0,0.004803
106,2.0,1000.0,1000.0,0.9,0.1,0.004362
107,2.0,1000.0,1000.0,1.0,0.0,0.001311
108,4.0,1000.0,1000.0,0.1,0.0,0.02329
109,4.0,1000.0,1000.0,0.1,0.1,0.026714
110,4.0,1000.0,1000.0,0.1,0.2,0.029294
111,4.0,1000.0,1000.0,0.1,0.3,0.02555
112,4.0,1000.0,1000.0,0.1,0.4,0.027395
113,4.0,1000.0,1000.0,0.1,0.5,0.025079
114,4.0,1000.0,1000.0,0.1,0.6,0.025948
115,4.0,1000.0,1000.0,0.1,0.7,0.034595
116,4.0,1000.0,1000.0,0.1,0.8,0.038319
117,4.0,1000.0,1000.0,0.1,0.9,0.036388
118,4.0,1000.0,1000.0,0.2,0.0,0.024779
119,4.0,1000.0,1000.0,0.2,0.1,0.033437
120,4.0,1000.0,1000.0,0.2,0.2,0.027762
121,4.0,1000.0,1000.0,0.2,0.3,0.027111
122,4.0,1000.0,1000.0,0.2,0.4,0.03411
123,4.0,1000.0,1000.0,0.2,0.5,0.034014
124,4.0,1000.0,1000.0,0.2,0.6,0.030044
125,4.0,1000.0,1000.0,0.2,0.7,0.031192
126,4.0,1000.0,1000.0,0.2,0.8,0.034356
127,4.0,1000.0,1000.0,0.3,0.0,0.022695
128,4.0,1000.0,1000.0,0.3,0.1,0.029164
129,4.0,1000.0,1000.0,0.3,0.2,0.023257
130,4.0,1000.0,1000.0,0.3,0.3,0.025322
131,4.0,1000.0,1000.0,0.3,0.4,0.03367
132,4.0,1000.0,1000.0,0.3,0.5,0.032884
133,4.0,1000.0,1000.0,0.3,0.6,0.035557
134,4.0,1000.0,1000.0,0.3,0.7,0.032227
135,4.0,1000.0,1000.0,0.4,0.0,0.020994
136,4.0,1000.0,1000.0,0.4,0.1,0.026204
137,4.0,1000.0,1000.0,0.4,0.2,0.034109
138,4.0,1000.0,1000.0,0.4,0.3,0.033253
139,4.0,1000.0,1000.0,0.4,0.4,0.035112
140,4.0,1000.0,1000.0,0.4,0.5,0.030417
141,4.0,1000.0,1000.0,0.4,0.6,0.031913
