,threads,keys,operations,searc,insert,time
78,2.0,1000.0,1000.0,0.3,0.5,0.008612
79,2.0,1000.0,1000.0,0.3,0.6,0.00748
80,2.0,1000.0,1000.0,0.3,0.7,0.009354
81,2.0,1000.0,1000.0,0.4,0.0,0.008475
82,2.0,1000.0,1000.0,0.4,0.1,0.007017
83,2.0,1000.0,1000.0,0.4,0.2,0.009431
84,2.0,1000.0,1000.0,0.4,0.3,0.009284
85,2.0,1000.0,1000.0,0.4,0.4,0.00882
86,2.0,1000.0,1000.0,0.4,0.5,0.01075
87,2.0,1000.0,1000.0,0.4,0.6,0.011796
88,2.0,1000.0,1000.0,0.5,0.0,0.009592
89,2.0,1000.0,1000.0,0.5,0.1,0.009771
90,2.0,1000.0,1000.0,0.5,0.2,0.009988
91,2.0,1000.0,1000.0,0.5,0.3,0.010762
92,2.0,1000.0,1000.0,0.5,0.4,0.012426
93,2.0,1000.0,1000.0,0.5,0.5,0.010653
94,2.0,1000.0,1000.0,0.6,0.0,0.010225
95,2.0,1000.0,1000.0,0.6,0.1,0.010913
96,2.0,1000.0,1000.0,0.6,0.2,0.010984
97,2.0,1000.0,1000.0,0.6,0.3,0.010833
98,2.0,1000.0,1000.0,0.6,0.4,0.010417
99,2.0,1000.0,1000.0,0.7,0.0,0.010142
100,2.0,1000.0,1000.0,0.7,0.15,0.012299
101,2.0,1000.0,1000.0,0.7,0.3,0.012271
102,2.0,1000.0,1000.0,0.8,0.0,0.008716
103,2.0,1000.0,1000.0,0.8,0.1,0.010077
104,2.0,1000.0,1000.0,0.8,0.2,0.010373
105,2.0,1000.0,1000.0,0.9,0.0,0.005941
106,2.0,1000.0,1000.0,0.9,0.1,0.005768
107,2.0,1000.0,1000.0,1.0,0.0,0.001307
108,4.0,1000.0,1000.0,0.1,0.0,0.005352
109,4.0,1000.0,1000.0,0.1,0.1,0.00604
110,4.0,1000.0,1000.0,0.1,0.2,0.006353
111,4.0,1000.0,1000.0,0.1,0.3,0.006478
112,4.0,1000.0,1000.0,0.1,0.4,0.006899
113,4.0,1000.0,1000.0,0.1,0.5,0.007493
114,4.0,1000.0,1000.0,0.1,0.6,0.008797
115,4.0,1000.0,1000.0,0.1,0.7,0.008477
116,4.0,1000.0,1000.0,0.1,0.8,0.008854
117,4.0,1000.0,1000.0,0.1,0.9,0.010187
118,4.0,1000.0,1000.0,0.2,0.0,0.005218
119,4.0,1000.0,1000.0,0.2,0.1,0.006746
120,4.0,1000.0,1000.0,0.2,0.2,0.007732
121,4.0,1000.0,1000.0,0.2,0.3,0.008734
122,4.0,1000.0,1000.0,0.2,0.4,0.007707
123,4.0,1000.0,1000.0,0.2,0.5,0.009564
124,4.0,1000.0,1000.0,0.2,0.6,0.008956
125,4.0,1000.0,1000.0,0.2,0.7,0.010699
126,4.0,1000.0,1000.0,0.2,0.8,0.010669
127,4.0,1000.0,1000.0,0.3,0.0,0.007096
128,4.0,1000.0,1000.0,0.3,0.1,0.007658
129,4.0,1000.0,1000.0,0.3,0.2,0.009382
130,4.0,1000.0,1000.0,0.3,0.3,0.009211
131,4.0,1000.0,1000.0,0.3,0.4,0.00866
132,4.0,1000.0,1000.0,0.3,0.5,0.00983
133,4.0,1000.0,1000.0,0.3,0.6,0.010425
134,4.0,1000.0,1000.0,0.3,0.7,0.011209
135,4.0,1000.0,1000.0,0.4,0.0,0.007983
136,4.0,1000.0,1000.0,0.4,0.1,0.00832
137,4.0,1000.0,1000.0,0.4,0.2,0.007173
138,4.0,1000.0,1000.0,0.4,0.3,0.008506
139,4.0,1000.0,1000.0,0.4,0.4,0.009584
140,4.0,1000.0,1000.0,0.4,0.5,0.011307
141,4.0,1000.0,1000.0,0.4,0.6,0.012268
142,4.0,1000.0,1000.0,0.5,0.0,0.008489
143,4.0,1000.0,1000.0,0.5,0.1,0.009267
144,4.0,1000.0,1000.0,0.5,0.2,0.009845
145,4.0,1000.0,1000.0,0.5,0.3,0.010095
146,4.0,1000.0,1000.0,0.5,0.4,0.010621
147,4.0,1000.0,1000.0,0.5,0.5,0.012321
148,4.0,1000.0,1000.0,0.6,0.0,0.008578
149,4.0,1000.0,1000.0,0.6,0.1,0.009075
150,4.0,1000.0,1000.0,0.6,0.2,0.010299
151,4.0,1000.0,1000.0,0.6,0.3,0.011179
152,4.0,1000.0,1000.0,0.6,0.4,0.010998
153,4.0,1000.0,1000.0,0.7,0.0,0.008447
154,4.0,1000.0,1000.0,0.7,0.15,0.009518
155,4.0,1000.0,1000.0,0.7,0.3,0.010809
156,4.0,1000.0,1000.0,0.8,0.0,0.008632
157,4.0,1000.0,1000.0,0.8,0.1,0.009211
158,4.0,1000.0,1000.0,0.8,0.2,0.010882
159,4.0,1000.0,1000.0,0.9,0.0,0.007023
160,4.0,1000.0,1000.0,0.9,0.1,0.007691
161,4.0,1000.0,1000.0,1.0,0.0,0.000799
162,6.0,1000.0,1000.0,0.1,0.0,0.006562
163,6.0,1000.0,1000.0,0.1,0.1,0.00666
164,6.0,1000.0,1000.0,0.1,0.2,0.007941
165,6.0,1000.0,1000.0,0.1,0.3,0.007032
166,6.0,1000.0,1000.0,0.1,0.4,0.008621
167,6.0,1000.0,1000.0,0.1,0.5,0.008356
168,6.0,1000.0,1000.0,0.1,0.6,0.0091
169,6.0,1000.0,1000.0,0.1,0.7,0.009084
170,6.0,1000.0,1000.0,0.1,0.8,0.010511
171,6.0,1000.0,1000.0,0.1,0.9,0.009873
172,6.0,1000.0,1000.0,0.2,0.0,0.006085
173,6.0,1000.0,1000.0,0.2,0.1,0.007887
174,6.0,1000.0,1000.0,0.2,0.2,0.008965
175,6.0,1000.0,1000.0,0.2,0.3,0.009082
176,6.0,1000.0,1000.0,0.2,0.4,0.009057
177,6.0,1000.0,1000.0,0.2,0.5,0.009364
178,6.0,1000.0,1000.0,0.2,0.6,0.009484
179,6.0,1000.0,1000.0,0.2,0.7,0.010233
180,6.0,1000.0,1000.0,0.2,0.8,0.01035
181,6.0,1000.0,1000.0,0.3,0.0,0.008265
182,6.0,1000.0,1000.0,0.3,0.1,0.008287
183,6.0,1000.0,1000.0,0.3,0.2,0.009086
184,6.0,1000.0,1000.0,0.3,0.3,0.009136
185,6.0,1000.0,1000.0,0.3,0.4,0.009676
186,6.0,1000.0,1000.0,0.3,0.5,0.009699
187,6.0,1000.0,1000.0,0.3,0.6,0.010294
188,6.0,1000.0,1000.0,0.3,0.7,0.011452
189,6.0,1000.0,1000.0,0.4,0.0,0.007985
190,6.0,1000.0,1000.0,0.4,0.1,0.009517
191,6.0,1000.0,1000.0,0.4,0.2,0.010448
192,6.0,1000.0,1000.0,0.4,0.3,0.011532
193,6.0,1000.0,1000.0,0.4,0.4,0.010687
194,6.0,1000.0,1000.0,0.4,0.5,0.012214
195,6.0,1000.0,1000.0,0.4,0.6,0.012662
196,6.0,1000.0,1000.0,0.5,0.0,0.009075
197,6.0,1000.0,1000.0,0.5,0.1,0.009703
198,6.0,1000.0,1000.0,0.5,0.2,0.010311
199,6.0,1000.0,1000.0,0.5,0.3,0.011989
200,6.0,1000.0,1000.0,0.5,0.4,0.011854
201,6.0,1000.0,1000.0,0.5,0.5,0.011371
202,6.0,1000.0,1000.0,0.6,0.0,0.008761
203,6.0,1000.0,1000.0,0.6,0.1,0.010707
204,6.0,1000.0,1000.0,0.6,0.2,0.010777
205,6.0,1000.0,1000.0,0.6,0.3,0.012513
206,6.0,1000.0,1000.0,0.6,0.4,0.011947
207,6.0,1000.0,1000.0,0.7,0.0,0.008957
208,6.0,1000.0,1000.0,0.7,0.15,0.010492
209,6.0,1000.0,1000.0,0.7,0.3,0.011338
210,6.0,1000.0,1000.0,0.8,0.0,0.007983
211,6.0,1000.0,1000.0,0.8,0.1,0.009262
212,6.0,1000.0,1000.0,0.8,0.2,0.009873
213,6.0,1000.0,1000.0,0.9,0.0,0.006874
214,6.0,1000.0,1000.0,0.9,0.1,0.007775
215,6.0,1000.0,1000.0,1.0,0.0,0.00086
216,8.0,1000.0,1000.0,0.1,0.0,0.005399
217,8.0,1000.0,1000.0,0.1,0.1,0.007466
